INTERNAL | System Time: 1741192526.2388 | Logical Clock: 1 | 
SEND to VM 0 | System Time: 1741192526.4442 | Logical Clock: 2 | Message Clock Sent: 1
SEND to VM 1 | System Time: 1741192526.6474 | Logical Clock: 3 | Message Clock Sent: 2
INTERNAL | System Time: 1741192526.8531 | Logical Clock: 4 | 
INTERNAL | System Time: 1741192527.0576 | Logical Clock: 5 | 
INTERNAL | System Time: 1741192527.2630 | Logical Clock: 6 | 
INTERNAL | System Time: 1741192527.4664 | Logical Clock: 7 | 
RECEIVE | System Time: 1741192527.6712 | Logical Clock: 8 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192527.8758 | Logical Clock: 9 | 
INTERNAL | System Time: 1741192528.0809 | Logical Clock: 10 | 
RECEIVE | System Time: 1741192528.2829 | Logical Clock: 11 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192528.4868 | Logical Clock: 12 | 
INTERNAL | System Time: 1741192528.6920 | Logical Clock: 13 | 
SEND to VMs 0, 1 | System Time: 1741192528.8986 | Logical Clock: 14 | Message Clock Sent: 13
INTERNAL | System Time: 1741192529.1011 | Logical Clock: 15 | 
INTERNAL | System Time: 1741192529.3016 | Logical Clock: 16 | 
INTERNAL | System Time: 1741192529.5037 | Logical Clock: 17 | 
INTERNAL | System Time: 1741192529.7059 | Logical Clock: 18 | 
RECEIVE | System Time: 1741192529.9070 | Logical Clock: 19 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192530.1110 | Logical Clock: 20 | 
INTERNAL | System Time: 1741192530.3150 | Logical Clock: 21 | 
INTERNAL | System Time: 1741192530.5203 | Logical Clock: 22 | 
SEND to VM 1 | System Time: 1741192530.7242 | Logical Clock: 23 | Message Clock Sent: 22
SEND to VMs 0, 1 | System Time: 1741192530.9310 | Logical Clock: 24 | Message Clock Sent: 23
SEND to VM 0 | System Time: 1741192531.1383 | Logical Clock: 25 | Message Clock Sent: 24
INTERNAL | System Time: 1741192531.3401 | Logical Clock: 26 | 
SEND to VMs 0, 1 | System Time: 1741192531.5454 | Logical Clock: 27 | Message Clock Sent: 26
INTERNAL | System Time: 1741192531.7487 | Logical Clock: 28 | 
RECEIVE | System Time: 1741192531.9670 | Logical Clock: 29 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192532.1721 | Logical Clock: 30 | 
INTERNAL | System Time: 1741192532.3784 | Logical Clock: 31 | 
INTERNAL | System Time: 1741192532.5816 | Logical Clock: 32 | 
INTERNAL | System Time: 1741192532.7832 | Logical Clock: 33 | 
INTERNAL | System Time: 1741192532.9876 | Logical Clock: 34 | 
INTERNAL | System Time: 1741192533.1886 | Logical Clock: 35 | 
INTERNAL | System Time: 1741192533.3925 | Logical Clock: 36 | 
INTERNAL | System Time: 1741192533.5966 | Logical Clock: 37 | 
INTERNAL | System Time: 1741192533.8017 | Logical Clock: 38 | 
INTERNAL | System Time: 1741192534.0057 | Logical Clock: 39 | 
INTERNAL | System Time: 1741192534.2111 | Logical Clock: 40 | 
RECEIVE | System Time: 1741192534.4160 | Logical Clock: 41 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192534.6212 | Logical Clock: 42 | 
INTERNAL | System Time: 1741192534.8269 | Logical Clock: 43 | 
INTERNAL | System Time: 1741192535.0325 | Logical Clock: 44 | 
RECEIVE | System Time: 1741192535.2377 | Logical Clock: 45 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192535.4431 | Logical Clock: 46 | 
SEND to VMs 0, 1 | System Time: 1741192535.6480 | Logical Clock: 47 | Message Clock Sent: 46
INTERNAL | System Time: 1741192535.8526 | Logical Clock: 48 | 
INTERNAL | System Time: 1741192536.0570 | Logical Clock: 49 | 
SEND to VM 0 | System Time: 1741192536.2583 | Logical Clock: 50 | Message Clock Sent: 49
INTERNAL | System Time: 1741192536.4611 | Logical Clock: 51 | 
SEND to VMs 0, 1 | System Time: 1741192536.6646 | Logical Clock: 52 | Message Clock Sent: 51
INTERNAL | System Time: 1741192536.8703 | Logical Clock: 53 | 
RECEIVE | System Time: 1741192537.0738 | Logical Clock: 54 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192537.2752 | Logical Clock: 55 | 
INTERNAL | System Time: 1741192537.4801 | Logical Clock: 56 | 
RECEIVE | System Time: 1741192537.6853 | Logical Clock: 57 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192537.8907 | Logical Clock: 58 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192538.0963 | Logical Clock: 59 | 
INTERNAL | System Time: 1741192538.2977 | Logical Clock: 60 | 
INTERNAL | System Time: 1741192538.5030 | Logical Clock: 61 | 
SEND to VMs 0, 1 | System Time: 1741192538.7081 | Logical Clock: 62 | Message Clock Sent: 61
SEND to VMs 0, 1 | System Time: 1741192538.9143 | Logical Clock: 63 | Message Clock Sent: 62
INTERNAL | System Time: 1741192539.1211 | Logical Clock: 64 | 
INTERNAL | System Time: 1741192539.3266 | Logical Clock: 65 | 
RECEIVE | System Time: 1741192539.5315 | Logical Clock: 66 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192539.7333 | Logical Clock: 67 | 
RECEIVE | System Time: 1741192539.9360 | Logical Clock: 68 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192540.1402 | Logical Clock: 69 | 
INTERNAL | System Time: 1741192540.3458 | Logical Clock: 70 | 
INTERNAL | System Time: 1741192540.5477 | Logical Clock: 71 | 
INTERNAL | System Time: 1741192540.7498 | Logical Clock: 72 | 
INTERNAL | System Time: 1741192540.9518 | Logical Clock: 73 | 
RECEIVE | System Time: 1741192541.1562 | Logical Clock: 74 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192541.3607 | Logical Clock: 75 | 
INTERNAL | System Time: 1741192541.5635 | Logical Clock: 76 | 
SEND to VM 1 | System Time: 1741192541.7679 | Logical Clock: 77 | Message Clock Sent: 76
SEND to VMs 0, 1 | System Time: 1741192541.9741 | Logical Clock: 78 | Message Clock Sent: 77
INTERNAL | System Time: 1741192542.1775 | Logical Clock: 79 | 
INTERNAL | System Time: 1741192542.3827 | Logical Clock: 80 | 
INTERNAL | System Time: 1741192542.5845 | Logical Clock: 81 | 
RECEIVE | System Time: 1741192542.7900 | Logical Clock: 82 | From VM 1, Queue Length: 0
SEND to VM 0 | System Time: 1741192542.9953 | Logical Clock: 83 | Message Clock Sent: 82
SEND to VM 0 | System Time: 1741192543.2006 | Logical Clock: 84 | Message Clock Sent: 83
INTERNAL | System Time: 1741192543.4061 | Logical Clock: 85 | 
INTERNAL | System Time: 1741192543.6093 | Logical Clock: 86 | 
INTERNAL | System Time: 1741192543.8143 | Logical Clock: 87 | 
SEND to VM 0 | System Time: 1741192544.0175 | Logical Clock: 88 | Message Clock Sent: 87
INTERNAL | System Time: 1741192544.2212 | Logical Clock: 89 | 
RECEIVE | System Time: 1741192544.4258 | Logical Clock: 90 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192544.6311 | Logical Clock: 91 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741192544.8422 | Logical Clock: 92 | Message Clock Sent: 91
SEND to VMs 0, 1 | System Time: 1741192545.0994 | Logical Clock: 93 | Message Clock Sent: 92
