INTERNAL | System Time: 1741192526.2321 | Logical Clock: 1 | 
INTERNAL | System Time: 1741192526.4375 | Logical Clock: 2 | 
RECEIVE | System Time: 1741192526.6424 | Logical Clock: 3 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192526.8474 | Logical Clock: 4 | 
INTERNAL | System Time: 1741192527.0502 | Logical Clock: 5 | 
INTERNAL | System Time: 1741192527.2514 | Logical Clock: 6 | 
SEND to VM 1 | System Time: 1741192527.4560 | Logical Clock: 7 | Message Clock Sent: 6
SEND to VMs 1, 2 | System Time: 1741192527.6586 | Logical Clock: 8 | Message Clock Sent: 7
INTERNAL | System Time: 1741192527.8645 | Logical Clock: 9 | 
INTERNAL | System Time: 1741192528.0698 | Logical Clock: 10 | 
SEND to VMs 1, 2 | System Time: 1741192528.2730 | Logical Clock: 11 | Message Clock Sent: 10
INTERNAL | System Time: 1741192528.4781 | Logical Clock: 12 | 
SEND to VM 1 | System Time: 1741192528.6809 | Logical Clock: 13 | Message Clock Sent: 12
INTERNAL | System Time: 1741192528.8856 | Logical Clock: 14 | 
RECEIVE | System Time: 1741192529.0873 | Logical Clock: 15 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192529.2911 | Logical Clock: 16 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192529.4964 | Logical Clock: 17 | 
INTERNAL | System Time: 1741192529.6984 | Logical Clock: 18 | 
SEND to VMs 1, 2 | System Time: 1741192529.9037 | Logical Clock: 19 | Message Clock Sent: 18
INTERNAL | System Time: 1741192530.1106 | Logical Clock: 20 | 
RECEIVE | System Time: 1741192530.3150 | Logical Clock: 21 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192530.5203 | Logical Clock: 22 | 
RECEIVE | System Time: 1741192530.7244 | Logical Clock: 23 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192530.9310 | Logical Clock: 24 | 
RECEIVE | System Time: 1741192531.1343 | Logical Clock: 25 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192531.3355 | Logical Clock: 26 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192531.5451 | Logical Clock: 27 | 
RECEIVE | System Time: 1741192531.7508 | Logical Clock: 28 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192531.9643 | Logical Clock: 29 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192532.1681 | Logical Clock: 30 | 
