INTERNAL | System Time: 1741192526.2333 | Logical Clock: 1 | 
INTERNAL | System Time: 1741192526.4887 | Logical Clock: 2 | 
RECEIVE | System Time: 1741192526.7451 | Logical Clock: 3 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192526.9971 | Logical Clock: 4 | 
INTERNAL | System Time: 1741192527.2508 | Logical Clock: 5 | 
RECEIVE | System Time: 1741192527.5058 | Logical Clock: 7 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192527.7612 | Logical Clock: 8 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192528.0143 | Logical Clock: 9 | 
INTERNAL | System Time: 1741192528.2692 | Logical Clock: 10 | 
RECEIVE | System Time: 1741192528.5237 | Logical Clock: 11 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192528.7790 | Logical Clock: 13 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192529.0343 | Logical Clock: 14 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192529.2880 | Logical Clock: 15 | Message Clock Sent: 14
INTERNAL | System Time: 1741192529.5447 | Logical Clock: 16 | 
INTERNAL | System Time: 1741192529.7973 | Logical Clock: 17 | 
RECEIVE | System Time: 1741192530.0482 | Logical Clock: 19 | From VM 0, Queue Length: 0
SEND to VM 0 | System Time: 1741192530.3002 | Logical Clock: 20 | Message Clock Sent: 19
SEND to VM 0 | System Time: 1741192530.5578 | Logical Clock: 21 | Message Clock Sent: 20
RECEIVE | System Time: 1741192530.8135 | Logical Clock: 23 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192531.0649 | Logical Clock: 24 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192531.3197 | Logical Clock: 25 | 
RECEIVE | System Time: 1741192531.5739 | Logical Clock: 27 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192531.8292 | Logical Clock: 28 | Message Clock Sent: 27
INTERNAL | System Time: 1741192532.0854 | Logical Clock: 29 | 
INTERNAL | System Time: 1741192532.3397 | Logical Clock: 30 | 
RECEIVE | System Time: 1741192532.5929 | Logical Clock: 31 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192532.8485 | Logical Clock: 33 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192533.1020 | Logical Clock: 34 | 
RECEIVE | System Time: 1741192533.3538 | Logical Clock: 35 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192533.6059 | Logical Clock: 36 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741192533.8571 | Logical Clock: 37 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192534.1119 | Logical Clock: 38 | 
INTERNAL | System Time: 1741192534.3673 | Logical Clock: 39 | 
RECEIVE | System Time: 1741192534.6212 | Logical Clock: 42 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192534.8740 | Logical Clock: 43 | 
SEND to VMs 0, 2 | System Time: 1741192535.1294 | Logical Clock: 44 | Message Clock Sent: 43
INTERNAL | System Time: 1741192535.3865 | Logical Clock: 45 | 
INTERNAL | System Time: 1741192535.6384 | Logical Clock: 46 | 
RECEIVE | System Time: 1741192535.8920 | Logical Clock: 47 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192536.1467 | Logical Clock: 48 | 
INTERNAL | System Time: 1741192536.4011 | Logical Clock: 49 | 
INTERNAL | System Time: 1741192536.6574 | Logical Clock: 50 | 
RECEIVE | System Time: 1741192536.9131 | Logical Clock: 52 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192537.1686 | Logical Clock: 53 | Message Clock Sent: 52
INTERNAL | System Time: 1741192537.4249 | Logical Clock: 54 | 
RECEIVE | System Time: 1741192537.6799 | Logical Clock: 57 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192537.9318 | Logical Clock: 58 | 
INTERNAL | System Time: 1741192538.1861 | Logical Clock: 59 | 
INTERNAL | System Time: 1741192538.4410 | Logical Clock: 60 | 
INTERNAL | System Time: 1741192538.6931 | Logical Clock: 61 | 
RECEIVE | System Time: 1741192538.9445 | Logical Clock: 62 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192539.1989 | Logical Clock: 63 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192539.4542 | Logical Clock: 64 | Message Clock Sent: 63
RECEIVE | System Time: 1741192539.7126 | Logical Clock: 67 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192539.9634 | Logical Clock: 68 | 
RECEIVE | System Time: 1741192540.2179 | Logical Clock: 69 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192540.4727 | Logical Clock: 70 | 
INTERNAL | System Time: 1741192540.7264 | Logical Clock: 71 | 
SEND to VMs 0, 2 | System Time: 1741192540.9803 | Logical Clock: 72 | Message Clock Sent: 71
INTERNAL | System Time: 1741192541.2354 | Logical Clock: 73 | 
INTERNAL | System Time: 1741192541.4875 | Logical Clock: 74 | 
INTERNAL | System Time: 1741192541.7417 | Logical Clock: 75 | 
RECEIVE | System Time: 1741192541.9929 | Logical Clock: 77 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192542.2442 | Logical Clock: 78 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192542.4975 | Logical Clock: 79 | 
SEND to VMs 0, 2 | System Time: 1741192542.7517 | Logical Clock: 80 | Message Clock Sent: 79
INTERNAL | System Time: 1741192543.0065 | Logical Clock: 81 | 
INTERNAL | System Time: 1741192543.2577 | Logical Clock: 82 | 
INTERNAL | System Time: 1741192543.5124 | Logical Clock: 83 | 
INTERNAL | System Time: 1741192543.7678 | Logical Clock: 84 | 
INTERNAL | System Time: 1741192544.0189 | Logical Clock: 85 | 
SEND to VMs 0, 2 | System Time: 1741192544.2741 | Logical Clock: 86 | Message Clock Sent: 85
SEND to VM 2 | System Time: 1741192544.5293 | Logical Clock: 87 | Message Clock Sent: 86
INTERNAL | System Time: 1741192544.7869 | Logical Clock: 88 | 
RECEIVE | System Time: 1741192545.1430 | Logical Clock: 92 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192545.3951 | Logical Clock: 93 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741192545.6456 | Logical Clock: 94 | Message Clock Sent: 93
SEND to VMs 0, 2 | System Time: 1741192545.8979 | Logical Clock: 95 | Message Clock Sent: 94
SEND to VM 0 | System Time: 1741192546.1522 | Logical Clock: 96 | Message Clock Sent: 95
SEND to VM 0 | System Time: 1741192546.4084 | Logical Clock: 97 | Message Clock Sent: 96
SEND to VM 0 | System Time: 1741192546.6633 | Logical Clock: 98 | Message Clock Sent: 97
SEND to VM 0 | System Time: 1741192546.9149 | Logical Clock: 99 | Message Clock Sent: 98
RECEIVE | System Time: 1741192547.1707 | Logical Clock: 103 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192547.4248 | Logical Clock: 104 | 
RECEIVE | System Time: 1741192547.6792 | Logical Clock: 105 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192547.9340 | Logical Clock: 106 | 
SEND to VM 2 | System Time: 1741192548.1879 | Logical Clock: 107 | Message Clock Sent: 106
INTERNAL | System Time: 1741192548.4404 | Logical Clock: 108 | 
RECEIVE | System Time: 1741192548.6930 | Logical Clock: 110 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192548.9474 | Logical Clock: 111 | 
INTERNAL | System Time: 1741192549.2024 | Logical Clock: 112 | 
