INTERNAL | System Time: 1741192952.8757 | Logical Clock: 92 | 
RECEIVE | System Time: 1741192953.0806 | Logical Clock: 95 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192953.2867 | Logical Clock: 96 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192953.4890 | Logical Clock: 97 | Message Clock Sent: 96
INTERNAL | System Time: 1741192953.6948 | Logical Clock: 98 | 
RECEIVE | System Time: 1741192953.8996 | Logical Clock: 100 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192954.1050 | Logical Clock: 101 | 
RECEIVE | System Time: 1741192954.3104 | Logical Clock: 102 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192954.5152 | Logical Clock: 103 | 
INTERNAL | System Time: 1741192954.7206 | Logical Clock: 104 | 
RECEIVE | System Time: 1741192954.9228 | Logical Clock: 105 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192955.1281 | Logical Clock: 106 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192955.3304 | Logical Clock: 107 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192955.5359 | Logical Clock: 108 | 
INTERNAL | System Time: 1741192955.7415 | Logical Clock: 109 | 
SEND to VMs 0, 2 | System Time: 1741192955.9464 | Logical Clock: 110 | Message Clock Sent: 109
INTERNAL | System Time: 1741192956.1485 | Logical Clock: 111 | 
INTERNAL | System Time: 1741192956.3528 | Logical Clock: 112 | 
RECEIVE | System Time: 1741192956.5581 | Logical Clock: 115 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192956.7635 | Logical Clock: 116 | Message Clock Sent: 115
SEND to VMs 0, 2 | System Time: 1741192956.9694 | Logical Clock: 117 | Message Clock Sent: 116
INTERNAL | System Time: 1741192957.1760 | Logical Clock: 118 | 
RECEIVE | System Time: 1741192957.3819 | Logical Clock: 120 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192957.5875 | Logical Clock: 121 | 
RECEIVE | System Time: 1741192957.7913 | Logical Clock: 122 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192957.9968 | Logical Clock: 123 | 
INTERNAL | System Time: 1741192958.2022 | Logical Clock: 124 | 
INTERNAL | System Time: 1741192958.4044 | Logical Clock: 125 | 
INTERNAL | System Time: 1741192958.6099 | Logical Clock: 126 | 
INTERNAL | System Time: 1741192958.8109 | Logical Clock: 127 | 
RECEIVE | System Time: 1741192959.0167 | Logical Clock: 128 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741192959.2224 | Logical Clock: 130 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192959.4278 | Logical Clock: 132 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192959.6333 | Logical Clock: 133 | Message Clock Sent: 132
SEND to VMs 0, 2 | System Time: 1741192959.8397 | Logical Clock: 134 | Message Clock Sent: 133
SEND to VM 0 | System Time: 1741192960.0428 | Logical Clock: 135 | Message Clock Sent: 134
INTERNAL | System Time: 1741192960.2485 | Logical Clock: 136 | 
INTERNAL | System Time: 1741192960.4540 | Logical Clock: 137 | 
RECEIVE | System Time: 1741192960.6553 | Logical Clock: 139 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192960.8577 | Logical Clock: 140 | 
SEND to VM 2 | System Time: 1741192961.0591 | Logical Clock: 141 | Message Clock Sent: 140
INTERNAL | System Time: 1741192961.2647 | Logical Clock: 142 | 
RECEIVE | System Time: 1741192961.4689 | Logical Clock: 144 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192961.6754 | Logical Clock: 145 | 
RECEIVE | System Time: 1741192961.8787 | Logical Clock: 146 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192962.0834 | Logical Clock: 147 | Message Clock Sent: 146
SEND to VM 0 | System Time: 1741192962.2902 | Logical Clock: 148 | Message Clock Sent: 147
RECEIVE | System Time: 1741192962.4944 | Logical Clock: 149 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192962.7003 | Logical Clock: 151 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192962.9015 | Logical Clock: 152 | 
SEND to VM 2 | System Time: 1741192963.1070 | Logical Clock: 153 | Message Clock Sent: 152
SEND to VM 2 | System Time: 1741192963.3113 | Logical Clock: 154 | Message Clock Sent: 153
INTERNAL | System Time: 1741192963.5138 | Logical Clock: 155 | 
SEND to VM 0 | System Time: 1741192963.7197 | Logical Clock: 156 | Message Clock Sent: 155
RECEIVE | System Time: 1741192963.9224 | Logical Clock: 158 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192964.1307 | Logical Clock: 159 | 
RECEIVE | System Time: 1741192964.3352 | Logical Clock: 160 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192964.5391 | Logical Clock: 162 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192964.7463 | Logical Clock: 163 | 
RECEIVE | System Time: 1741192964.9521 | Logical Clock: 164 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192965.1555 | Logical Clock: 165 | 
RECEIVE | System Time: 1741192965.3610 | Logical Clock: 166 | From VM 2, Queue Length: 0
SEND to VM 0 | System Time: 1741192965.5653 | Logical Clock: 167 | Message Clock Sent: 166
INTERNAL | System Time: 1741192965.7721 | Logical Clock: 168 | 
SEND to VMs 0, 2 | System Time: 1741192965.9753 | Logical Clock: 169 | Message Clock Sent: 168
INTERNAL | System Time: 1741192966.1838 | Logical Clock: 170 | 
SEND to VM 0 | System Time: 1741192966.3892 | Logical Clock: 171 | Message Clock Sent: 170
RECEIVE | System Time: 1741192966.5958 | Logical Clock: 174 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192966.7997 | Logical Clock: 175 | 
INTERNAL | System Time: 1741192967.0022 | Logical Clock: 176 | 
RECEIVE | System Time: 1741192967.2036 | Logical Clock: 177 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741192967.4086 | Logical Clock: 178 | From VM 0, Queue Length: 0
SEND to VM 0 | System Time: 1741192967.6146 | Logical Clock: 179 | Message Clock Sent: 178
INTERNAL | System Time: 1741192967.8214 | Logical Clock: 180 | 
RECEIVE | System Time: 1741192968.0261 | Logical Clock: 182 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192968.2317 | Logical Clock: 183 | 
INTERNAL | System Time: 1741192968.4353 | Logical Clock: 184 | 
SEND to VM 2 | System Time: 1741192968.6386 | Logical Clock: 185 | Message Clock Sent: 184
INTERNAL | System Time: 1741192968.8432 | Logical Clock: 186 | 
INTERNAL | System Time: 1741192969.0459 | Logical Clock: 187 | 
INTERNAL | System Time: 1741192969.2485 | Logical Clock: 188 | 
INTERNAL | System Time: 1741192969.4545 | Logical Clock: 189 | 
RECEIVE | System Time: 1741192969.6599 | Logical Clock: 191 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741192969.8618 | Logical Clock: 192 | 
RECEIVE | System Time: 1741192970.0655 | Logical Clock: 193 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192970.2670 | Logical Clock: 194 | 
INTERNAL | System Time: 1741192970.4682 | Logical Clock: 195 | 
SEND to VM 0 | System Time: 1741192970.6741 | Logical Clock: 196 | Message Clock Sent: 195
INTERNAL | System Time: 1741192970.8803 | Logical Clock: 197 | 
INTERNAL | System Time: 1741192971.0842 | Logical Clock: 198 | 
INTERNAL | System Time: 1741192971.2868 | Logical Clock: 199 | 
SEND to VMs 0, 2 | System Time: 1741192971.4920 | Logical Clock: 200 | Message Clock Sent: 199
INTERNAL | System Time: 1741192971.6967 | Logical Clock: 201 | 
INTERNAL | System Time: 1741192971.9021 | Logical Clock: 202 | 
SEND to VM 0 | System Time: 1741192972.1075 | Logical Clock: 203 | Message Clock Sent: 202
INTERNAL | System Time: 1741192972.3142 | Logical Clock: 204 | 
INTERNAL | System Time: 1741192972.5153 | Logical Clock: 205 | 
RECEIVE | System Time: 1741192972.7207 | Logical Clock: 209 | From VM 2, Queue Length: 0
