INTERNAL | System Time: 1741192936.8868 | Logical Clock: 1 | 
INTERNAL | System Time: 1741192937.0588 | Logical Clock: 2 | 
INTERNAL | System Time: 1741192937.2309 | Logical Clock: 3 | 
SEND to VM 1 | System Time: 1741192937.3994 | Logical Clock: 4 | Message Clock Sent: 3
INTERNAL | System Time: 1741192937.5692 | Logical Clock: 5 | 
RECEIVE | System Time: 1741192937.7390 | Logical Clock: 6 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192937.9115 | Logical Clock: 7 | 
RECEIVE | System Time: 1741192938.0841 | Logical Clock: 8 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192938.2542 | Logical Clock: 9 | 
INTERNAL | System Time: 1741192938.4250 | Logical Clock: 10 | 
INTERNAL | System Time: 1741192938.5935 | Logical Clock: 11 | 
RECEIVE | System Time: 1741192938.7661 | Logical Clock: 12 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192938.9352 | Logical Clock: 13 | From VM 1, Queue Length: 0
SEND to VM 0 | System Time: 1741192939.1072 | Logical Clock: 14 | Message Clock Sent: 13
INTERNAL | System Time: 1741192939.2808 | Logical Clock: 15 | 
SEND to VMs 0, 1 | System Time: 1741192939.4529 | Logical Clock: 16 | Message Clock Sent: 15
INTERNAL | System Time: 1741192939.6277 | Logical Clock: 17 | 
RECEIVE | System Time: 1741192939.7985 | Logical Clock: 18 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741192939.9702 | Logical Clock: 19 | Message Clock Sent: 18
INTERNAL | System Time: 1741192940.1434 | Logical Clock: 20 | 
INTERNAL | System Time: 1741192940.3157 | Logical Clock: 21 | 
INTERNAL | System Time: 1741192940.4842 | Logical Clock: 22 | 
INTERNAL | System Time: 1741192940.6564 | Logical Clock: 23 | 
INTERNAL | System Time: 1741192940.8265 | Logical Clock: 24 | 
INTERNAL | System Time: 1741192940.9976 | Logical Clock: 25 | 
INTERNAL | System Time: 1741192941.1698 | Logical Clock: 26 | 
SEND to VM 0 | System Time: 1741192941.3412 | Logical Clock: 27 | Message Clock Sent: 26
INTERNAL | System Time: 1741192941.5142 | Logical Clock: 28 | 
SEND to VMs 0, 1 | System Time: 1741192941.6865 | Logical Clock: 29 | Message Clock Sent: 28
INTERNAL | System Time: 1741192941.8600 | Logical Clock: 30 | 
INTERNAL | System Time: 1741192942.0280 | Logical Clock: 31 | 
INTERNAL | System Time: 1741192942.1985 | Logical Clock: 32 | 
INTERNAL | System Time: 1741192942.3708 | Logical Clock: 33 | 
SEND to VM 1 | System Time: 1741192942.5421 | Logical Clock: 34 | Message Clock Sent: 33
INTERNAL | System Time: 1741192942.7137 | Logical Clock: 35 | 
INTERNAL | System Time: 1741192942.8834 | Logical Clock: 36 | 
INTERNAL | System Time: 1741192943.0518 | Logical Clock: 37 | 
