INTERNAL | System Time: 1741192398.3092 | Logical Clock: 1 | 
INTERNAL | System Time: 1741192399.3145 | Logical Clock: 2 | 
RECEIVE | System Time: 1741192400.3199 | Logical Clock: 3 | From VM 2, Queue Length: 0
SEND to VM 1 | System Time: 1741192401.3252 | Logical Clock: 4 | Message Clock Sent: 3
INTERNAL | System Time: 1741192402.3322 | Logical Clock: 5 | 
SEND to VM 2 | System Time: 1741192403.3381 | Logical Clock: 6 | Message Clock Sent: 5
RECEIVE | System Time: 1741192404.3414 | Logical Clock: 11 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192405.3464 | Logical Clock: 13 | From VM 1, Queue Length: 1
RECEIVE | System Time: 1741192406.3499 | Logical Clock: 14 | From VM 1, Queue Length: 2
RECEIVE | System Time: 1741192407.3564 | Logical Clock: 15 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192408.3608 | Logical Clock: 16 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192409.3653 | Logical Clock: 17 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741192410.3664 | Logical Clock: 22 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192411.3684 | Logical Clock: 26 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192412.3754 | Logical Clock: 27 | 
INTERNAL | System Time: 1741192413.3791 | Logical Clock: 28 | 
INTERNAL | System Time: 1741192414.3819 | Logical Clock: 29 | 
INTERNAL | System Time: 1741192415.3837 | Logical Clock: 30 | 
INTERNAL | System Time: 1741192416.3881 | Logical Clock: 31 | 
RECEIVE | System Time: 1741192417.3939 | Logical Clock: 37 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192418.3999 | Logical Clock: 38 | 
INTERNAL | System Time: 1741192419.4058 | Logical Clock: 39 | 
INTERNAL | System Time: 1741192420.4117 | Logical Clock: 40 | 
INTERNAL | System Time: 1741192421.4163 | Logical Clock: 41 | 
INTERNAL | System Time: 1741192422.4219 | Logical Clock: 42 | 
SEND to VM 2 | System Time: 1741192423.4249 | Logical Clock: 43 | Message Clock Sent: 42
INTERNAL | System Time: 1741192424.4302 | Logical Clock: 44 | 
RECEIVE | System Time: 1741192425.4328 | Logical Clock: 53 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192426.4381 | Logical Clock: 54 | 
RECEIVE | System Time: 1741192427.4396 | Logical Clock: 57 | From VM 1, Queue Length: 1
RECEIVE | System Time: 1741192428.4458 | Logical Clock: 58 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192429.4504 | Logical Clock: 61 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192430.4530 | Logical Clock: 63 | From VM 1, Queue Length: 1
RECEIVE | System Time: 1741192431.4559 | Logical Clock: 64 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192432.4661 | Logical Clock: 65 | 
INTERNAL | System Time: 1741192433.4710 | Logical Clock: 66 | 
INTERNAL | System Time: 1741192434.4758 | Logical Clock: 67 | 
RECEIVE | System Time: 1741192435.4792 | Logical Clock: 68 | From VM 2, Queue Length: 0
SEND to VM 1 | System Time: 1741192436.4841 | Logical Clock: 69 | Message Clock Sent: 68
RECEIVE | System Time: 1741192437.4896 | Logical Clock: 78 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192438.4926 | Logical Clock: 79 | 
INTERNAL | System Time: 1741192439.4965 | Logical Clock: 80 | 
INTERNAL | System Time: 1741192440.5016 | Logical Clock: 81 | 
INTERNAL | System Time: 1741192441.5035 | Logical Clock: 82 | 
RECEIVE | System Time: 1741192442.5056 | Logical Clock: 87 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741192443.5099 | Logical Clock: 88 | 
RECEIVE | System Time: 1741192444.5147 | Logical Clock: 92 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741192445.5201 | Logical Clock: 93 | Message Clock Sent: 92
INTERNAL | System Time: 1741192446.5282 | Logical Clock: 94 | 
RECEIVE | System Time: 1741192447.5299 | Logical Clock: 97 | From VM 1, Queue Length: 0
SEND to VMs 1, 2 | System Time: 1741192448.5315 | Logical Clock: 98 | Message Clock Sent: 97
INTERNAL | System Time: 1741192449.5412 | Logical Clock: 99 | 
INTERNAL | System Time: 1741192450.5470 | Logical Clock: 100 | 
INTERNAL | System Time: 1741192451.5506 | Logical Clock: 101 | 
SEND to VMs 1, 2 | System Time: 1741192452.5519 | Logical Clock: 102 | Message Clock Sent: 101
RECEIVE | System Time: 1741192453.5556 | Logical Clock: 110 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741192454.5585 | Logical Clock: 111 | From VM 1, Queue Length: 0
SEND to VMs 1, 2 | System Time: 1741192455.5649 | Logical Clock: 112 | Message Clock Sent: 111
SEND to VMs 1, 2 | System Time: 1741192456.5709 | Logical Clock: 113 | Message Clock Sent: 112
SEND to VMs 1, 2 | System Time: 1741192457.5774 | Logical Clock: 114 | Message Clock Sent: 113
