INTERNAL | System Time: 1741192398.3105 | Logical Clock: 1 | 
INTERNAL | System Time: 1741192398.8160 | Logical Clock: 2 | 
INTERNAL | System Time: 1741192399.3209 | Logical Clock: 3 | 
INTERNAL | System Time: 1741192399.8262 | Logical Clock: 4 | 
RECEIVE | System Time: 1741192400.3320 | Logical Clock: 5 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741192400.8372 | Logical Clock: 6 | Message Clock Sent: 5
RECEIVE | System Time: 1741192401.3466 | Logical Clock: 7 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741192401.8508 | Logical Clock: 8 | 
INTERNAL | System Time: 1741192402.3564 | Logical Clock: 9 | 
SEND to VM 2 | System Time: 1741192402.8580 | Logical Clock: 10 | Message Clock Sent: 9
SEND to VM 0 | System Time: 1741192403.3694 | Logical Clock: 11 | Message Clock Sent: 10
INTERNAL | System Time: 1741192403.8748 | Logical Clock: 12 | 
SEND to VM 0 | System Time: 1741192404.3781 | Logical Clock: 13 | Message Clock Sent: 12
SEND to VM 0 | System Time: 1741192404.8831 | Logical Clock: 14 | Message Clock Sent: 13
SEND to VM 2 | System Time: 1741192405.3902 | Logical Clock: 15 | Message Clock Sent: 14
SEND to VM 0 | System Time: 1741192405.8966 | Logical Clock: 16 | Message Clock Sent: 15
INTERNAL | System Time: 1741192406.4034 | Logical Clock: 17 | 
INTERNAL | System Time: 1741192406.9070 | Logical Clock: 18 | 
INTERNAL | System Time: 1741192407.4130 | Logical Clock: 19 | 
INTERNAL | System Time: 1741192407.9191 | Logical Clock: 20 | 
RECEIVE | System Time: 1741192408.4245 | Logical Clock: 21 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741192408.9258 | Logical Clock: 22 | Message Clock Sent: 21
INTERNAL | System Time: 1741192409.4344 | Logical Clock: 23 | 
INTERNAL | System Time: 1741192409.9357 | Logical Clock: 24 | 
INTERNAL | System Time: 1741192410.4380 | Logical Clock: 25 | 
SEND to VM 0 | System Time: 1741192410.9395 | Logical Clock: 26 | Message Clock Sent: 25
SEND to VM 2 | System Time: 1741192411.4415 | Logical Clock: 27 | Message Clock Sent: 26
INTERNAL | System Time: 1741192411.9445 | Logical Clock: 28 | 
INTERNAL | System Time: 1741192412.4494 | Logical Clock: 29 | 
INTERNAL | System Time: 1741192412.9566 | Logical Clock: 30 | 
SEND to VM 2 | System Time: 1741192413.4627 | Logical Clock: 31 | Message Clock Sent: 30
INTERNAL | System Time: 1741192413.9697 | Logical Clock: 32 | 
INTERNAL | System Time: 1741192414.4756 | Logical Clock: 33 | 
SEND to VM 2 | System Time: 1741192414.9778 | Logical Clock: 34 | Message Clock Sent: 33
INTERNAL | System Time: 1741192415.4830 | Logical Clock: 35 | 
INTERNAL | System Time: 1741192415.9886 | Logical Clock: 36 | 
SEND to VMs 0, 2 | System Time: 1741192416.4909 | Logical Clock: 37 | Message Clock Sent: 36
INTERNAL | System Time: 1741192416.9992 | Logical Clock: 38 | 
INTERNAL | System Time: 1741192417.5019 | Logical Clock: 39 | 
INTERNAL | System Time: 1741192418.0035 | Logical Clock: 40 | 
