SEND to VM 1 | System Time: 1741191959.6468 | Logical Clock: 1 | Message Clock Sent: 0
INTERNAL | System Time: 1741191959.9884 | Logical Clock: 2 | 
RECEIVE | System Time: 1741191960.3271 | Logical Clock: 3 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191960.6620 | Logical Clock: 4 | 
RECEIVE | System Time: 1741191961.0008 | Logical Clock: 6 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191961.3394 | Logical Clock: 7 | 
INTERNAL | System Time: 1741191961.6743 | Logical Clock: 8 | 
INTERNAL | System Time: 1741191962.0135 | Logical Clock: 9 | 
INTERNAL | System Time: 1741191962.3485 | Logical Clock: 10 | 
RECEIVE | System Time: 1741191962.6829 | Logical Clock: 14 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741191963.0203 | Logical Clock: 15 | 
SEND to VM 2 | System Time: 1741191963.3551 | Logical Clock: 16 | Message Clock Sent: 15
INTERNAL | System Time: 1741191963.6945 | Logical Clock: 17 | 
RECEIVE | System Time: 1741191964.0290 | Logical Clock: 19 | From VM 2, Queue Length: 0
SEND to VM 1 | System Time: 1741191964.3631 | Logical Clock: 20 | Message Clock Sent: 19
INTERNAL | System Time: 1741191964.7027 | Logical Clock: 21 | 
RECEIVE | System Time: 1741191965.0370 | Logical Clock: 27 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741191965.3763 | Logical Clock: 28 | Message Clock Sent: 27
RECEIVE | System Time: 1741191965.7135 | Logical Clock: 29 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191966.0525 | Logical Clock: 31 | From VM 1, Queue Length: 0
SEND to VMs 1, 2 | System Time: 1741191966.3893 | Logical Clock: 32 | Message Clock Sent: 31
INTERNAL | System Time: 1741191966.7262 | Logical Clock: 33 | 
RECEIVE | System Time: 1741191967.0650 | Logical Clock: 35 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191967.4038 | Logical Clock: 37 | From VM 2, Queue Length: 0
SEND to VM 1 | System Time: 1741191967.7436 | Logical Clock: 38 | Message Clock Sent: 37
INTERNAL | System Time: 1741191968.0790 | Logical Clock: 39 | 
INTERNAL | System Time: 1741191968.4155 | Logical Clock: 40 | 
SEND to VM 1 | System Time: 1741191968.7542 | Logical Clock: 41 | Message Clock Sent: 40
RECEIVE | System Time: 1741191969.0957 | Logical Clock: 44 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191969.4347 | Logical Clock: 45 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741191969.7739 | Logical Clock: 46 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191970.1125 | Logical Clock: 51 | From VM 1, Queue Length: 0
SEND to VMs 1, 2 | System Time: 1741191970.4512 | Logical Clock: 52 | Message Clock Sent: 51
SEND to VM 1 | System Time: 1741191970.7877 | Logical Clock: 53 | Message Clock Sent: 52
RECEIVE | System Time: 1741191971.1287 | Logical Clock: 55 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191971.4673 | Logical Clock: 58 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191971.8062 | Logical Clock: 59 | 
SEND to VMs 1, 2 | System Time: 1741191972.1428 | Logical Clock: 60 | Message Clock Sent: 59
INTERNAL | System Time: 1741191972.4827 | Logical Clock: 61 | 
INTERNAL | System Time: 1741191972.8210 | Logical Clock: 62 | 
RECEIVE | System Time: 1741191973.1610 | Logical Clock: 65 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191973.5000 | Logical Clock: 68 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741191973.8382 | Logical Clock: 69 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191974.1746 | Logical Clock: 70 | 
SEND to VMs 1, 2 | System Time: 1741191974.5091 | Logical Clock: 71 | Message Clock Sent: 70
INTERNAL | System Time: 1741191974.8490 | Logical Clock: 72 | 
RECEIVE | System Time: 1741191975.1867 | Logical Clock: 75 | From VM 2, Queue Length: 0
SEND to VMs 1, 2 | System Time: 1741191975.5276 | Logical Clock: 76 | Message Clock Sent: 75
INTERNAL | System Time: 1741191975.8689 | Logical Clock: 77 | 
RECEIVE | System Time: 1741191976.2075 | Logical Clock: 79 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191976.5479 | Logical Clock: 80 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741191976.8832 | Logical Clock: 84 | From VM 1, Queue Length: 0
