INTERNAL | System Time: 1741191959.6534 | Logical Clock: 1 | 
INTERNAL | System Time: 1741191959.9079 | Logical Clock: 2 | 
RECEIVE | System Time: 1741191960.1633 | Logical Clock: 3 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191960.4191 | Logical Clock: 4 | 
INTERNAL | System Time: 1741191960.6721 | Logical Clock: 5 | 
INTERNAL | System Time: 1741191960.9312 | Logical Clock: 6 | 
SEND to VM 1 | System Time: 1741191961.1873 | Logical Clock: 7 | Message Clock Sent: 6
INTERNAL | System Time: 1741191961.4508 | Logical Clock: 8 | 
INTERNAL | System Time: 1741191961.7057 | Logical Clock: 9 | 
RECEIVE | System Time: 1741191961.9582 | Logical Clock: 12 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191962.2096 | Logical Clock: 13 | 
SEND to VMs 0, 1 | System Time: 1741191962.4661 | Logical Clock: 14 | Message Clock Sent: 13
INTERNAL | System Time: 1741191962.7221 | Logical Clock: 15 | 
INTERNAL | System Time: 1741191962.9776 | Logical Clock: 16 | 
INTERNAL | System Time: 1741191963.2300 | Logical Clock: 17 | 
RECEIVE | System Time: 1741191963.4857 | Logical Clock: 18 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741191963.7404 | Logical Clock: 19 | Message Clock Sent: 18
INTERNAL | System Time: 1741191963.9969 | Logical Clock: 20 | 
INTERNAL | System Time: 1741191964.2526 | Logical Clock: 21 | 
INTERNAL | System Time: 1741191964.5060 | Logical Clock: 22 | 
INTERNAL | System Time: 1741191964.7606 | Logical Clock: 23 | 
INTERNAL | System Time: 1741191965.0163 | Logical Clock: 24 | 
INTERNAL | System Time: 1741191965.2707 | Logical Clock: 25 | 
SEND to VM 0 | System Time: 1741191965.5271 | Logical Clock: 26 | Message Clock Sent: 25
RECEIVE | System Time: 1741191965.7836 | Logical Clock: 31 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191966.0389 | Logical Clock: 32 | 
INTERNAL | System Time: 1741191966.2912 | Logical Clock: 33 | 
RECEIVE | System Time: 1741191966.5483 | Logical Clock: 34 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741191966.8003 | Logical Clock: 35 | Message Clock Sent: 34
SEND to VM 1 | System Time: 1741191967.0581 | Logical Clock: 36 | Message Clock Sent: 35
SEND to VM 0 | System Time: 1741191967.3144 | Logical Clock: 37 | Message Clock Sent: 36
INTERNAL | System Time: 1741191967.5714 | Logical Clock: 38 | 
RECEIVE | System Time: 1741191967.8265 | Logical Clock: 40 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741191968.0778 | Logical Clock: 41 | Message Clock Sent: 40
INTERNAL | System Time: 1741191968.3334 | Logical Clock: 42 | 
INTERNAL | System Time: 1741191968.5850 | Logical Clock: 43 | 
SEND to VM 0 | System Time: 1741191968.8358 | Logical Clock: 44 | Message Clock Sent: 43
SEND to VMs 0, 1 | System Time: 1741191969.0953 | Logical Clock: 45 | Message Clock Sent: 44
SEND to VMs 0, 1 | System Time: 1741191969.3533 | Logical Clock: 46 | Message Clock Sent: 45
SEND to VM 1 | System Time: 1741191969.6094 | Logical Clock: 47 | Message Clock Sent: 46
INTERNAL | System Time: 1741191969.8647 | Logical Clock: 48 | 
RECEIVE | System Time: 1741191970.1200 | Logical Clock: 52 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191970.3715 | Logical Clock: 53 | 
RECEIVE | System Time: 1741191970.6257 | Logical Clock: 54 | From VM 0, Queue Length: 0
SEND to VM 0 | System Time: 1741191970.8807 | Logical Clock: 55 | Message Clock Sent: 54
INTERNAL | System Time: 1741191971.1380 | Logical Clock: 56 | 
RECEIVE | System Time: 1741191971.3887 | Logical Clock: 58 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741191971.6436 | Logical Clock: 59 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191971.8969 | Logical Clock: 60 | 
RECEIVE | System Time: 1741191972.1522 | Logical Clock: 61 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741191972.4038 | Logical Clock: 62 | 
RECEIVE | System Time: 1741191972.6593 | Logical Clock: 64 | From VM 1, Queue Length: 0
SEND to VM 0 | System Time: 1741191972.9111 | Logical Clock: 65 | Message Clock Sent: 64
INTERNAL | System Time: 1741191973.1660 | Logical Clock: 66 | 
INTERNAL | System Time: 1741191973.4204 | Logical Clock: 67 | 
INTERNAL | System Time: 1741191973.6745 | Logical Clock: 68 | 
RECEIVE | System Time: 1741191973.9279 | Logical Clock: 70 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741191974.1827 | Logical Clock: 72 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741191974.4382 | Logical Clock: 73 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741191974.6897 | Logical Clock: 74 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741191974.9430 | Logical Clock: 75 | Message Clock Sent: 74
SEND to VM 1 | System Time: 1741191975.1964 | Logical Clock: 76 | Message Clock Sent: 75
INTERNAL | System Time: 1741191975.4533 | Logical Clock: 77 | 
RECEIVE | System Time: 1741191975.7067 | Logical Clock: 78 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741191975.9587 | Logical Clock: 79 | Message Clock Sent: 78
SEND to VM 0 | System Time: 1741191976.2182 | Logical Clock: 80 | Message Clock Sent: 79
INTERNAL | System Time: 1741191976.4751 | Logical Clock: 81 | 
RECEIVE | System Time: 1741191976.7294 | Logical Clock: 84 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191976.9841 | Logical Clock: 85 | 
RECEIVE | System Time: 1741191977.2387 | Logical Clock: 87 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191977.4920 | Logical Clock: 88 | 
INTERNAL | System Time: 1741191977.7476 | Logical Clock: 89 | 
RECEIVE | System Time: 1741191978.0022 | Logical Clock: 90 | From VM 1, Queue Length: 0
RECEIVE | System Time: 1741191978.2560 | Logical Clock: 91 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741191978.5122 | Logical Clock: 92 | 
INTERNAL | System Time: 1741191978.7665 | Logical Clock: 93 | 
SEND to VM 1 | System Time: 1741191979.0214 | Logical Clock: 94 | Message Clock Sent: 93
INTERNAL | System Time: 1741191979.2758 | Logical Clock: 95 | 
INTERNAL | System Time: 1741191979.5306 | Logical Clock: 96 | 
INTERNAL | System Time: 1741191979.7851 | Logical Clock: 97 | 
INTERNAL | System Time: 1741191980.0407 | Logical Clock: 98 | 
INTERNAL | System Time: 1741191980.2954 | Logical Clock: 99 | 
INTERNAL | System Time: 1741191980.5482 | Logical Clock: 100 | 
RECEIVE | System Time: 1741191980.8036 | Logical Clock: 101 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741191981.0822 | Logical Clock: 104 | From VM 1, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741191981.3370 | Logical Clock: 105 | Message Clock Sent: 104
INTERNAL | System Time: 1741191981.5913 | Logical Clock: 106 | 
INTERNAL | System Time: 1741191981.8465 | Logical Clock: 107 | 
INTERNAL | System Time: 1741191982.0979 | Logical Clock: 108 | 
INTERNAL | System Time: 1741191982.3495 | Logical Clock: 109 | 
INTERNAL | System Time: 1741191982.6053 | Logical Clock: 110 | 
SEND to VM 0 | System Time: 1741191982.8600 | Logical Clock: 111 | Message Clock Sent: 110
RECEIVE | System Time: 1741191983.1142 | Logical Clock: 115 | From VM 1, Queue Length: 0
SEND to VM 1 | System Time: 1741191983.3695 | Logical Clock: 116 | Message Clock Sent: 115
INTERNAL | System Time: 1741191983.6278 | Logical Clock: 117 | 
RECEIVE | System Time: 1741191983.8803 | Logical Clock: 119 | From VM 1, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741191984.1365 | Logical Clock: 120 | Message Clock Sent: 119
INTERNAL | System Time: 1741191984.3963 | Logical Clock: 121 | 
