INTERNAL | System Time: 1741191959.6478 | Logical Clock: 1 | 
RECEIVE | System Time: 1741191959.8533 | Logical Clock: 2 | From VM 0, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741191960.0587 | Logical Clock: 3 | Message Clock Sent: 2
INTERNAL | System Time: 1741191960.2631 | Logical Clock: 4 | 
INTERNAL | System Time: 1741191960.4679 | Logical Clock: 5 | 
SEND to VM 0 | System Time: 1741191960.6732 | Logical Clock: 6 | Message Clock Sent: 5
INTERNAL | System Time: 1741191960.8808 | Logical Clock: 7 | 
INTERNAL | System Time: 1741191961.0866 | Logical Clock: 8 | 
RECEIVE | System Time: 1741191961.2898 | Logical Clock: 9 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741191961.4952 | Logical Clock: 10 | 
INTERNAL | System Time: 1741191961.6997 | Logical Clock: 11 | 
SEND to VM 2 | System Time: 1741191961.9012 | Logical Clock: 12 | Message Clock Sent: 11
INTERNAL | System Time: 1741191962.1044 | Logical Clock: 13 | 
INTERNAL | System Time: 1741191962.3071 | Logical Clock: 14 | 
RECEIVE | System Time: 1741191962.5127 | Logical Clock: 15 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741191962.7178 | Logical Clock: 16 | 
INTERNAL | System Time: 1741191962.9231 | Logical Clock: 17 | 
INTERNAL | System Time: 1741191963.1280 | Logical Clock: 18 | 
INTERNAL | System Time: 1741191963.3297 | Logical Clock: 19 | 
INTERNAL | System Time: 1741191963.5309 | Logical Clock: 20 | 
INTERNAL | System Time: 1741191963.7356 | Logical Clock: 21 | 
RECEIVE | System Time: 1741191963.9411 | Logical Clock: 22 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741191964.1464 | Logical Clock: 23 | 
INTERNAL | System Time: 1741191964.3475 | Logical Clock: 24 | 
RECEIVE | System Time: 1741191964.5496 | Logical Clock: 25 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741191964.7529 | Logical Clock: 26 | 
