INTERNAL | System Time: 1741194681.8816 | Logical Clock: 1 | 
RECEIVE | System Time: 1741194682.2294 | Logical Clock: 2 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741194682.5746 | Logical Clock: 3 | 
RECEIVE | System Time: 1741194682.9220 | Logical Clock: 4 | From VM 2, Queue Length: 0
SEND to VM 2 | System Time: 1741194683.2668 | Logical Clock: 5 | Message Clock Sent: 4
SEND to VM 1 | System Time: 1741194683.6168 | Logical Clock: 6 | Message Clock Sent: 5
INTERNAL | System Time: 1741194683.9652 | Logical Clock: 7 | 
SEND to VM 1 | System Time: 1741194684.3113 | Logical Clock: 8 | Message Clock Sent: 7
SEND to VM 1 | System Time: 1741194684.6620 | Logical Clock: 9 | Message Clock Sent: 8
SEND to VM 2 | System Time: 1741194685.0126 | Logical Clock: 10 | Message Clock Sent: 9
INTERNAL | System Time: 1741194685.3616 | Logical Clock: 11 | 
RECEIVE | System Time: 1741194685.7074 | Logical Clock: 12 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741194686.0522 | Logical Clock: 13 | 
INTERNAL | System Time: 1741194686.3991 | Logical Clock: 14 | 
INTERNAL | System Time: 1741194686.7468 | Logical Clock: 15 | 
INTERNAL | System Time: 1741194687.0946 | Logical Clock: 16 | 
RECEIVE | System Time: 1741194687.4427 | Logical Clock: 17 | From VM 1, Queue Length: 0
SEND to VM 2 | System Time: 1741194687.7881 | Logical Clock: 18 | Message Clock Sent: 17
INTERNAL | System Time: 1741194688.1357 | Logical Clock: 19 | 
INTERNAL | System Time: 1741194688.4836 | Logical Clock: 20 | 
SEND to VMs 1, 2 | System Time: 1741194688.8309 | Logical Clock: 21 | Message Clock Sent: 20
SEND to VMs 1, 2 | System Time: 1741194689.1799 | Logical Clock: 22 | Message Clock Sent: 21
SEND to VM 2 | System Time: 1741194689.5255 | Logical Clock: 23 | Message Clock Sent: 22
INTERNAL | System Time: 1741194689.8751 | Logical Clock: 24 | 
INTERNAL | System Time: 1741194690.2213 | Logical Clock: 25 | 
INTERNAL | System Time: 1741194690.5685 | Logical Clock: 26 | 
RECEIVE | System Time: 1741194690.9117 | Logical Clock: 27 | From VM 1, Queue Length: 0
