INTERNAL | System Time: 1741194681.8849 | Logical Clock: 1 | 
RECEIVE | System Time: 1741194682.3269 | Logical Clock: 2 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741194682.7689 | Logical Clock: 3 | 
INTERNAL | System Time: 1741194683.2111 | Logical Clock: 4 | 
RECEIVE | System Time: 1741194683.6532 | Logical Clock: 6 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741194684.0921 | Logical Clock: 7 | 
RECEIVE | System Time: 1741194684.5329 | Logical Clock: 8 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741194684.9711 | Logical Clock: 9 | From VM 0, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741194685.4129 | Logical Clock: 10 | Message Clock Sent: 9
INTERNAL | System Time: 1741194685.8522 | Logical Clock: 11 | 
SEND to VM 2 | System Time: 1741194686.2925 | Logical Clock: 12 | Message Clock Sent: 11
INTERNAL | System Time: 1741194686.7369 | Logical Clock: 13 | 
SEND to VMs 0, 2 | System Time: 1741194687.1768 | Logical Clock: 14 | Message Clock Sent: 13
INTERNAL | System Time: 1741194687.6221 | Logical Clock: 15 | 
INTERNAL | System Time: 1741194688.0642 | Logical Clock: 16 | 
INTERNAL | System Time: 1741194688.5053 | Logical Clock: 17 | 
RECEIVE | System Time: 1741194688.9477 | Logical Clock: 21 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741194689.3900 | Logical Clock: 22 | From VM 0, Queue Length: 0
INTERNAL | System Time: 1741194689.8302 | Logical Clock: 23 | 
INTERNAL | System Time: 1741194690.2681 | Logical Clock: 24 | 
SEND to VM 0 | System Time: 1741194690.7106 | Logical Clock: 25 | Message Clock Sent: 24
INTERNAL | System Time: 1741194691.1505 | Logical Clock: 26 | 
INTERNAL | System Time: 1741194691.5934 | Logical Clock: 27 | 
INTERNAL | System Time: 1741194692.0347 | Logical Clock: 28 | 
INTERNAL | System Time: 1741194692.4774 | Logical Clock: 29 | 
RECEIVE | System Time: 1741194692.9199 | Logical Clock: 32 | From VM 0, Queue Length: 1
