SEND to VM 0 | System Time: 1741169163.8963 | Logical Clock: 84 | Message Clock Sent: 83
RECEIVE | System Time: 1741169164.0997 | Logical Clock: 85 | From VM 1, Queue Length: 0
SEND to VM 0 | System Time: 1741169164.3030 | Logical Clock: 86 | Message Clock Sent: 85
INTERNAL | System Time: 1741169164.5101 | Logical Clock: 87 | 
INTERNAL | System Time: 1741169164.7117 | Logical Clock: 88 | 
INTERNAL | System Time: 1741169164.9136 | Logical Clock: 89 | 
INTERNAL | System Time: 1741169165.1151 | Logical Clock: 90 | 
RECEIVE | System Time: 1741169165.3168 | Logical Clock: 91 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169165.5181 | Logical Clock: 92 | 
RECEIVE | System Time: 1741169165.7196 | Logical Clock: 93 | From VM 1, Queue Length: 0
INTERNAL | System Time: 1741169165.9217 | Logical Clock: 94 | 
INTERNAL | System Time: 1741169166.1233 | Logical Clock: 95 | 
SEND to VM 0 | System Time: 1741169166.3254 | Logical Clock: 96 | Message Clock Sent: 95
INTERNAL | System Time: 1741169166.5282 | Logical Clock: 97 | 
SEND to VMs 0, 1 | System Time: 1741169166.7295 | Logical Clock: 98 | Message Clock Sent: 97
INTERNAL | System Time: 1741169166.9347 | Logical Clock: 99 | 
SEND to VM 0 | System Time: 1741169167.1359 | Logical Clock: 100 | Message Clock Sent: 99
SEND to VMs 0, 1 | System Time: 1741169167.3389 | Logical Clock: 101 | Message Clock Sent: 100
SEND to VM 0 | System Time: 1741169167.5465 | Logical Clock: 102 | Message Clock Sent: 101
INTERNAL | System Time: 1741169167.7505 | Logical Clock: 103 | 
INTERNAL | System Time: 1741169167.9515 | Logical Clock: 104 | 
SEND to VMs 0, 1 | System Time: 1741169168.1528 | Logical Clock: 105 | Message Clock Sent: 104
INTERNAL | System Time: 1741169168.3573 | Logical Clock: 106 | 
INTERNAL | System Time: 1741169168.5583 | Logical Clock: 107 | 
INTERNAL | System Time: 1741169168.7597 | Logical Clock: 108 | 
INTERNAL | System Time: 1741169168.9611 | Logical Clock: 109 | 
INTERNAL | System Time: 1741169169.1626 | Logical Clock: 110 | 
INTERNAL | System Time: 1741169169.3642 | Logical Clock: 111 | 
INTERNAL | System Time: 1741169169.5711 | Logical Clock: 112 | 
INTERNAL | System Time: 1741169169.7723 | Logical Clock: 113 | 
INTERNAL | System Time: 1741169169.9737 | Logical Clock: 114 | 
SEND to VM 1 | System Time: 1741169170.1754 | Logical Clock: 115 | Message Clock Sent: 114
INTERNAL | System Time: 1741169170.3784 | Logical Clock: 116 | 
INTERNAL | System Time: 1741169170.5797 | Logical Clock: 117 | 
