INTERNAL | System Time: 1741169146.9262 | Logical Clock: 1 | 
INTERNAL | System Time: 1741169147.2614 | Logical Clock: 2 | 
RECEIVE | System Time: 1741169147.5968 | Logical Clock: 3 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741169147.9318 | Logical Clock: 4 | 
RECEIVE | System Time: 1741169148.2674 | Logical Clock: 6 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741169148.6023 | Logical Clock: 7 | 
INTERNAL | System Time: 1741169148.9395 | Logical Clock: 8 | 
INTERNAL | System Time: 1741169149.2875 | Logical Clock: 9 | 
RECEIVE | System Time: 1741169149.6230 | Logical Clock: 13 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741169149.9698 | Logical Clock: 14 | 
INTERNAL | System Time: 1741169150.3072 | Logical Clock: 15 | 
INTERNAL | System Time: 1741169150.6424 | Logical Clock: 16 | 
INTERNAL | System Time: 1741169150.9793 | Logical Clock: 17 | 
SEND to VMs 0, 2 | System Time: 1741169151.3155 | Logical Clock: 18 | Message Clock Sent: 17
INTERNAL | System Time: 1741169151.6545 | Logical Clock: 19 | 
SEND to VM 0 | System Time: 1741169151.9888 | Logical Clock: 20 | Message Clock Sent: 19
INTERNAL | System Time: 1741169152.3315 | Logical Clock: 21 | 
RECEIVE | System Time: 1741169152.6660 | Logical Clock: 28 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741169153.0005 | Logical Clock: 29 | 
RECEIVE | System Time: 1741169153.3348 | Logical Clock: 31 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741169153.6700 | Logical Clock: 32 | 
INTERNAL | System Time: 1741169154.0744 | Logical Clock: 33 | 
INTERNAL | System Time: 1741169154.4101 | Logical Clock: 34 | 
RECEIVE | System Time: 1741169154.7450 | Logical Clock: 38 | From VM 2, Queue Length: 1
RECEIVE | System Time: 1741169155.0880 | Logical Clock: 39 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741169155.4233 | Logical Clock: 40 | 
RECEIVE | System Time: 1741169155.7586 | Logical Clock: 44 | From VM 2, Queue Length: 0
SEND to VMs 0, 2 | System Time: 1741169156.0931 | Logical Clock: 45 | Message Clock Sent: 44
INTERNAL | System Time: 1741169156.4317 | Logical Clock: 46 | 
INTERNAL | System Time: 1741169156.7676 | Logical Clock: 47 | 
INTERNAL | System Time: 1741169157.1046 | Logical Clock: 48 | 
INTERNAL | System Time: 1741169157.4413 | Logical Clock: 49 | 
RECEIVE | System Time: 1741169157.7759 | Logical Clock: 50 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741169158.1118 | Logical Clock: 55 | From VM 2, Queue Length: 0
RECEIVE | System Time: 1741169158.4480 | Logical Clock: 57 | From VM 2, Queue Length: 0
INTERNAL | System Time: 1741169158.7837 | Logical Clock: 58 | 
SEND to VM 0 | System Time: 1741169159.1191 | Logical Clock: 59 | Message Clock Sent: 58
INTERNAL | System Time: 1741169159.4586 | Logical Clock: 60 | 
