SEND to VMs 0, 1 | System Time: 1741195232.3385 | Logical Clock: 1 | Message Clock Sent: 0
INTERNAL | System Time: 1741195232.6788 | Logical Clock: 2 | 
RECEIVE | System Time: 1741195233.0180 | Logical Clock: 3 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195233.3573 | Logical Clock: 4 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195233.6959 | Logical Clock: 5 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195234.0310 | Logical Clock: 7 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195234.3664 | Logical Clock: 8 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195234.7050 | Logical Clock: 11 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195235.0440 | Logical Clock: 12 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195235.3799 | Logical Clock: 15 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195235.7180 | Logical Clock: 17 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195236.0570 | Logical Clock: 18 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195236.3947 | Logical Clock: 20 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195236.7338 | Logical Clock: 21 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195237.0694 | Logical Clock: 22 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195237.4091 | Logical Clock: 28 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195237.7440 | Logical Clock: 30 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195238.0809 | Logical Clock: 33 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195238.4160 | Logical Clock: 35 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195238.7516 | Logical Clock: 37 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195239.0867 | Logical Clock: 38 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195239.4255 | Logical Clock: 39 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195239.7644 | Logical Clock: 41 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195240.1012 | Logical Clock: 42 | From VM 0, Queue Length: 4
RECEIVE | System Time: 1741195240.4395 | Logical Clock: 43 | From VM 0, Queue Length: 5
RECEIVE | System Time: 1741195240.7790 | Logical Clock: 44 | From VM 0, Queue Length: 5
RECEIVE | System Time: 1741195241.1162 | Logical Clock: 45 | From VM 0, Queue Length: 4
RECEIVE | System Time: 1741195241.4505 | Logical Clock: 46 | From VM 0, Queue Length: 4
RECEIVE | System Time: 1741195241.7861 | Logical Clock: 47 | From VM 0, Queue Length: 5
RECEIVE | System Time: 1741195242.1203 | Logical Clock: 48 | From VM 0, Queue Length: 5
RECEIVE | System Time: 1741195242.4591 | Logical Clock: 49 | From VM 0, Queue Length: 4
RECEIVE | System Time: 1741195242.7955 | Logical Clock: 53 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195243.1302 | Logical Clock: 54 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195243.4693 | Logical Clock: 55 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195243.8083 | Logical Clock: 57 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195244.1466 | Logical Clock: 64 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195244.4854 | Logical Clock: 66 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195244.8247 | Logical Clock: 69 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195245.1633 | Logical Clock: 72 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195245.5006 | Logical Clock: 73 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195245.8397 | Logical Clock: 74 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195246.1783 | Logical Clock: 76 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195246.5184 | Logical Clock: 77 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195246.8550 | Logical Clock: 78 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195247.1939 | Logical Clock: 80 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195247.5318 | Logical Clock: 82 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195247.8694 | Logical Clock: 88 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195248.2052 | Logical Clock: 90 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195248.5419 | Logical Clock: 94 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195248.8778 | Logical Clock: 95 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195249.2162 | Logical Clock: 96 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195249.5524 | Logical Clock: 97 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195249.8923 | Logical Clock: 98 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195250.2269 | Logical Clock: 100 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195250.5660 | Logical Clock: 105 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195250.9037 | Logical Clock: 107 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195251.2426 | Logical Clock: 108 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195251.5802 | Logical Clock: 109 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195251.9170 | Logical Clock: 111 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195252.2562 | Logical Clock: 116 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195252.5945 | Logical Clock: 117 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195252.9315 | Logical Clock: 118 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195253.2679 | Logical Clock: 122 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741195253.6053 | Logical Clock: 123 | Message Clock Sent: 122
RECEIVE | System Time: 1741195253.9469 | Logical Clock: 126 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195254.2861 | Logical Clock: 128 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195254.6214 | Logical Clock: 130 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195254.9556 | Logical Clock: 131 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195255.2920 | Logical Clock: 133 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195255.6268 | Logical Clock: 134 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195255.9667 | Logical Clock: 138 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741195256.3060 | Logical Clock: 139 | Message Clock Sent: 138
SEND to VMs 0, 1 | System Time: 1741195256.6474 | Logical Clock: 140 | Message Clock Sent: 139
SEND to VMs 0, 1 | System Time: 1741195256.9888 | Logical Clock: 141 | Message Clock Sent: 140
SEND to VM 1 | System Time: 1741195257.3287 | Logical Clock: 142 | Message Clock Sent: 141
RECEIVE | System Time: 1741195257.6646 | Logical Clock: 148 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195258.0033 | Logical Clock: 149 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195258.3431 | Logical Clock: 150 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741195258.6798 | Logical Clock: 151 | Message Clock Sent: 150
RECEIVE | System Time: 1741195259.0211 | Logical Clock: 155 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195259.3602 | Logical Clock: 156 | From VM 0, Queue Length: 0
SEND to VMs 0, 1 | System Time: 1741195259.6984 | Logical Clock: 157 | Message Clock Sent: 156
SEND to VMs 0, 1 | System Time: 1741195260.0361 | Logical Clock: 158 | Message Clock Sent: 157
SEND to VMs 0, 1 | System Time: 1741195260.3733 | Logical Clock: 159 | Message Clock Sent: 158
RECEIVE | System Time: 1741195260.7115 | Logical Clock: 165 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195261.0459 | Logical Clock: 166 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195261.3839 | Logical Clock: 167 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195261.7205 | Logical Clock: 168 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195262.0597 | Logical Clock: 169 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195262.3942 | Logical Clock: 172 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195262.7311 | Logical Clock: 174 | From VM 0, Queue Length: 0
RECEIVE | System Time: 1741195263.0698 | Logical Clock: 178 | From VM 0, Queue Length: 1
RECEIVE | System Time: 1741195263.4087 | Logical Clock: 179 | From VM 0, Queue Length: 2
RECEIVE | System Time: 1741195263.7446 | Logical Clock: 180 | From VM 0, Queue Length: 3
RECEIVE | System Time: 1741195264.0836 | Logical Clock: 181 | From VM 0, Queue Length: 4
RECEIVE | System Time: 1741195264.4227 | Logical Clock: 182 | From VM 0, Queue Length: 5
RECEIVE | System Time: 1741195264.7592 | Logical Clock: 183 | From VM 0, Queue Length: 5
RECEIVE | System Time: 1741195265.0934 | Logical Clock: 184 | From VM 0, Queue Length: 6
RECEIVE | System Time: 1741195265.4288 | Logical Clock: 185 | From VM 0, Queue Length: 6
RECEIVE | System Time: 1741195265.7698 | Logical Clock: 186 | From VM 0, Queue Length: 7
RECEIVE | System Time: 1741195266.1086 | Logical Clock: 187 | From VM 0, Queue Length: 6
RECEIVE | System Time: 1741195266.4464 | Logical Clock: 188 | From VM 0, Queue Length: 7
RECEIVE | System Time: 1741195266.7851 | Logical Clock: 190 | From VM 0, Queue Length: 7
RECEIVE | System Time: 1741195267.1203 | Logical Clock: 191 | From VM 0, Queue Length: 6
RECEIVE | System Time: 1741195267.4559 | Logical Clock: 192 | From VM 0, Queue Length: 5
RECEIVE | System Time: 1741195267.7922 | Logical Clock: 194 | From VM 0, Queue Length: 6
RECEIVE | System Time: 1741195268.1282 | Logical Clock: 195 | From VM 0, Queue Length: 6
