SEND to VM 1 | System Time: 1741195244.4148 | Logical Clock: 71 | Message Clock Sent: 70
SEND to VMs 1, 2 | System Time: 1741195244.5863 | Logical Clock: 72 | Message Clock Sent: 71
SEND to VMs 1, 2 | System Time: 1741195244.7588 | Logical Clock: 73 | Message Clock Sent: 72
SEND to VMs 1, 2 | System Time: 1741195244.9284 | Logical Clock: 74 | Message Clock Sent: 73
SEND to VM 1 | System Time: 1741195245.1011 | Logical Clock: 75 | Message Clock Sent: 74
SEND to VM 2 | System Time: 1741195245.2697 | Logical Clock: 76 | Message Clock Sent: 75
SEND to VM 2 | System Time: 1741195245.4392 | Logical Clock: 77 | Message Clock Sent: 76
SEND to VMs 1, 2 | System Time: 1741195245.6081 | Logical Clock: 78 | Message Clock Sent: 77
INTERNAL | System Time: 1741195245.7779 | Logical Clock: 79 | 
SEND to VM 2 | System Time: 1741195245.9505 | Logical Clock: 80 | Message Clock Sent: 79
SEND to VM 1 | System Time: 1741195246.1219 | Logical Clock: 81 | Message Clock Sent: 80
SEND to VMs 1, 2 | System Time: 1741195246.2932 | Logical Clock: 82 | Message Clock Sent: 81
INTERNAL | System Time: 1741195246.4693 | Logical Clock: 83 | 
INTERNAL | System Time: 1741195246.6379 | Logical Clock: 84 | 
INTERNAL | System Time: 1741195246.8105 | Logical Clock: 85 | 
SEND to VM 1 | System Time: 1741195246.9796 | Logical Clock: 86 | Message Clock Sent: 85
INTERNAL | System Time: 1741195247.1527 | Logical Clock: 87 | 
SEND to VM 2 | System Time: 1741195247.3252 | Logical Clock: 88 | Message Clock Sent: 87
SEND to VM 1 | System Time: 1741195247.4998 | Logical Clock: 89 | Message Clock Sent: 88
SEND to VM 2 | System Time: 1741195247.6729 | Logical Clock: 90 | Message Clock Sent: 89
INTERNAL | System Time: 1741195247.8467 | Logical Clock: 91 | 
INTERNAL | System Time: 1741195248.0193 | Logical Clock: 92 | 
INTERNAL | System Time: 1741195248.1918 | Logical Clock: 93 | 
SEND to VM 2 | System Time: 1741195248.3634 | Logical Clock: 94 | Message Clock Sent: 93
SEND to VMs 1, 2 | System Time: 1741195248.5369 | Logical Clock: 95 | Message Clock Sent: 94
SEND to VM 2 | System Time: 1741195248.7102 | Logical Clock: 96 | Message Clock Sent: 95
SEND to VM 2 | System Time: 1741195248.8849 | Logical Clock: 97 | Message Clock Sent: 96
SEND to VM 2 | System Time: 1741195249.0586 | Logical Clock: 98 | Message Clock Sent: 97
SEND to VM 1 | System Time: 1741195249.2304 | Logical Clock: 99 | Message Clock Sent: 98
SEND to VMs 1, 2 | System Time: 1741195249.4006 | Logical Clock: 100 | Message Clock Sent: 99
INTERNAL | System Time: 1741195249.5755 | Logical Clock: 101 | 
SEND to VM 1 | System Time: 1741195249.7461 | Logical Clock: 102 | Message Clock Sent: 101
SEND to VM 1 | System Time: 1741195249.9177 | Logical Clock: 103 | Message Clock Sent: 102
SEND to VM 1 | System Time: 1741195250.0915 | Logical Clock: 104 | Message Clock Sent: 103
SEND to VMs 1, 2 | System Time: 1741195250.2617 | Logical Clock: 105 | Message Clock Sent: 104
INTERNAL | System Time: 1741195250.4370 | Logical Clock: 106 | 
SEND to VMs 1, 2 | System Time: 1741195250.6107 | Logical Clock: 107 | Message Clock Sent: 106
SEND to VMs 1, 2 | System Time: 1741195250.7861 | Logical Clock: 108 | Message Clock Sent: 107
SEND to VM 2 | System Time: 1741195250.9610 | Logical Clock: 109 | Message Clock Sent: 108
SEND to VM 1 | System Time: 1741195251.1336 | Logical Clock: 110 | Message Clock Sent: 109
